,TranscriptionFlux,TranslationFlux
b0002,1.602612437386858e-08,0.0
b0003,1.602612437386858e-08,5.406819873809046e-07
b0004,1.602612437386858e-08,1.2554750500766645e-09
b0007,1.3042200302918662e-65,1.4238788058036555e-63
b0008,0.0,0.0
b0009,6.824476412185894e-11,2.3024103540537225e-09
b0014,2.0254380539647425e-13,3.416664711900698e-12
b0015,2.0254380539647425e-13,6.833329423801396e-12
b0019,0.0,0.0
b0023,1.2835944124474525e-07,4.33053158532042e-06
b0025,1.4300666461824251e-11,4.824692847172828e-10
b0026,4.702215592918782e-10,1.5864117939945136e-08
b0027,4.702215592918782e-10,1.5373541876959768e-10
b0029,4.702215592918782e-10,2.6711181199904865e-10
b0030,0.0,0.0
b0031,3.441878201476181e-09,1.1612049818679486e-07
b0032,0.0,0.0
b0033,0.0,0.0
b0036,0.0,0.0
b0037,0.0,0.0
b0038,0.0,0.0
b0040,0.0,0.0
b0047,0.0,0.0
b0048,2.1538946061809602e-10,7.266710210846904e-09
b0049,2.2065041377383517e-10,0.0
b0051,2.2065041377383517e-10,3.701309047282411e-12
b0052,2.2065041377383517e-10,2.5214124652366047e-09
b0053,2.2065041377383517e-10,7.444201820259408e-09
b0058,8.087467625534773e-14,2.7285125003665e-12
b0061,0.0,0.0
b0062,0.0,0.0
b0063,0.0,0.0
b0066,0.0,0.0
b0067,0.0,0.0
b0068,0.0,0.0
b0070,0.0,0.0
b0071,1.7553123527259268e-10,5.921991800423102e-09
b0072,1.7553123527259268e-10,5.921991800423102e-09
b0073,1.7553123527259268e-10,2.505245863160919e-09
b0074,1.7553123527259268e-10,1.553307784974011e-09
b0077,0.0,0.0
b0078,0.0,0.0
b0082,0.0,0.0
b0084,3.295468281136415e-09,8.120407879608565e-10
b0085,3.295468281136415e-09,3.649496113209137e-08
b0086,3.295468281136415e-09,1.1110483804241774e-08
b0087,3.295468281136415e-09,4.8167680361394045e-11
b0088,3.295468281136415e-09,1.1118098786883793e-07
b0090,3.295468281136415e-09,1.1890798086938233e-08
b0091,3.295468281136415e-09,4.9682548859608406e-08
b0092,3.295468281136415e-09,0.0
b0096,3.295468281136415e-09,1.0259835332473553e-08
b0098,6.346802349238672e-09,2.141254883367536e-07
b0099,6.346802349238672e-09,1.1648221815033697e-10
b0103,2.176949821169837e-12,7.344492831079189e-11
b0104,0.0,0.0
b0109,3.7593057194392016e-08,1.268297212813991e-06
b0110,0.0,0.0
b0112,0.0,0.0
b0114,-4.006489137622306e-31,-1.3516908135811867e-29
b0115,-4.006489137622306e-31,-1.3516871466933042e-29
b0116,-1.669366812263949e-31,-5.6320327027846746e-30
b0118,0.0,0.0
b0120,0.0,0.0
b0121,0.0,0.0
b0123,0.0,0.0
b0124,0.0,0.0
b0125,0.0,0.0
b0126,0.0,0.0
b0131,3.1492064311767584e-12,1.0624647308102433e-10
b0133,3.2780471324360578e-12,6.796048191826981e-11
b0134,3.2780471324360578e-12,1.105932411945936e-10
b0142,2.989636006146904e-12,1.0086295972997131e-10
b0149,0.0,0.0
b0150,0.0,0.0
b0151,0.0,0.0
b0152,0.0,0.0
b0153,0.0,0.0
b0154,2.2436573401520036e-14,7.569547579782733e-13
b0155,0.0,0.0
b0156,9.572224129209083e-14,3.229432796787215e-12
b0158,1.964406306441598e-13,0.0
b0159,1.964406306441598e-13,6.627423330885073e-12
b0160,-1.714509583025952e-30,-5.784333299232386e-29
b0166,1.0113035027059713e-10,3.4118890814295045e-09
b0168,1.109503577964728e-13,3.743191962982284e-12
b0169,1.2835944124474525e-07,4.33053158532042e-06
b0170,1.2835944124474525e-07,2.615984098711777e-07
b0171,0.0,0.0
b0172,1.8872847986696815e-12,6.367234347452979e-11
b0173,4.00826317790888e-08,1.3522893311069007e-06
b0174,2.0797377355918115e-13,7.016523183511293e-12
b0175,2.0172540354240116e-11,6.805718559776282e-10
b0177,2.2065041377383517e-10,7.444201820259408e-09
b0179,3.856944972021524e-09,1.3012382932031313e-07
b0180,2.29459838406777e-09,2.4725967616965258e-14
b0181,2.29459838406777e-09,7.741410122597791e-08
b0182,8.816137704131401e-11,2.9743478483580753e-09
b0185,4.6493820464136113e-10,1.568587055924107e-08
b0186,0.0,0.0
b0188,1.2780596266814913e-15,4.3118585805573535e-14
b0194,5.82050585106071e-10,1.9636953998966234e-08
b0197,0.0,0.0
b0198,0.0,0.0
b0199,0.0,0.0
b0200,0.0,0.0
