,MetabolicFlux
12DGR120tipp,-1.0277599254833742e-22
12DGR140tipp,-3.351873314518036e-23
12DGR141tipp,-3.7194293637659295e-22
12DGR160tipp,-1.887870682026203e-20
12DGR161tipp,4.2212875441301385e-23
12DGR180tipp,1.1481702685324068e-54
12DGR181tipp,1.4477277954126588e-23
12PPDRtex,0.0
12PPDRtpp,0.0
12PPDStex,0.0
12PPDStpp,0.0
14GLUCANabcpp,0.0
14GLUCANtexi,0.0
23CAMPtex,0.0
23CCMPtex,0.0
23CGMPtex,3.1992035657233957e-23
23CUMPtex,0.0
23DAPPAt2pp,0.0
23DAPPAtex,0.0
23PDE2pp,0.0
23PDE4pp,0.0
23PDE7pp,0.0
23PDE9pp,3.1992035657233957e-23
23bpg_generation,0.0
26DAHtex,0.0
2AGPA120tipp,0.0
2AGPA140tipp,0.0
2AGPA141tipp,0.0
2AGPA160tipp,0.0
2AGPA161tipp,0.0
2AGPA180tipp,0.0
2AGPA181tipp,0.0
2AGPE120tipp,5.463201585677008e-23
2AGPE140tipp,7.40888588687425e-21
2AGPE141tipp,-9.996274885463118e-21
2AGPE160tipp,0.00035973858932210676
2AGPE161tipp,6.806165472825855e-21
2AGPE180tipp,4.530268915161731e-23
2AGPE181tipp,4.530268915161731e-23
2AGPEAT120,0.0
2AGPEAT140,0.0
2AGPEAT141,0.0
2AGPEAT160,0.00035973858932210676
2AGPEAT161,0.0
2AGPEAT180,0.0
2AGPEAT181,0.0
2AGPG120tipp,-8.432516282848187e-23
2AGPG140tipp,4.4779323676589255e-23
2AGPG141tipp,1.0233466481769663e-20
2AGPG160tipp,-5.430219679484346e-21
2AGPG161tipp,4.0751254468797737e-22
2AGPG180tipp,2.3155392482349395e-23
2AGPG181tipp,3.047886493630341e-23
2AGPGAT120,0.0
2AGPGAT140,4.4779323676589255e-23
2AGPGAT141,1.0591108959405972e-20
2AGPGAT160,-1.2757252661667096e-20
2AGPGAT161,7.213678017513833e-21
2AGPGAT180,2.3155392482349395e-23
2AGPGAT181,3.047886493630341e-23
2DGULRGx,0.0
2DGULRGy,0.0
2DGULRx,0.0
2DGULRy,0.0
2Fe2S_to_ErpA_by_IscA,0.0
2Fe2S_to_ErpA_by_IscU,7.066079010542966e-07
2Fe2S_to_ErpA_by_SufA,0.0
2Fe2S_to_IscA_by_IscU,0.0
2Fe2S_to_IscA_by_SufBCD,0.0
2Fe2S_to_SufA_by_IscU,3.5982606163254697e-47
2MAHMP,0.0
34dhpactex,0.0
3AMACHYD,-5.2108285029261424e-36
3AMPtex,0.0
3CMPtex,0.0
3GMPtex,0.0
3HAD1001,0.0
3HAD1201,0.0
3HAD1211,0.0
3HAD1401,0.0
3HAD1411,0.0
3HAD1601,7.349273318372596e-21
3HAD1611,1.7623364049327803e-22
3HAD1801,0.0
3HAD1811,0.0
3HAD401,0.0
3HAD601,0.0
3HAD801,0.0
3HCINNMH,3.7514430669661695e-23
3HPPPNH,3.7514430669661695e-23
3HPPtex,-3.126189389166481e-45
3HPPtpp,-5.2108285029261424e-36
3KGK,0.0
3NTD2pp,0.0
3NTD4pp,0.0
3NTD7pp,0.0
3NTD9pp,3.1992035657233957e-23
3OAR1001,0.0
3OAR1201,0.0
3OAR1211,0.0
3OAR1401,0.007780003324786324
3OAR1411,0.0
3OAR1601,7.347475179930788e-21
3OAR1611,1.7623371580679958e-22
3OAR1801,0.0
3OAR1811,0.0
3OAR401,0.0
3OAR601,0.0
3OAR801,0.0
3OAS1001,1.3458169857963738e-23
3OAS1201,1.3458169857963738e-23
3OAS1211,0.0
3OAS1401,0.007780006649574069
3OAS1411,0.0
3OAS1601,7.34927959826457e-21
3OAS1611,1.7623379112035332e-22
3OAS1801,1.3458169857963738e-23
3OAS1811,0.0
3OAS601,1.3458169857963738e-23
3OAS801,1.3458169857963738e-23
3OXCOAT,-1.7679453744781055e-45
3PEPTabcpp,2.042594625891745e-23
3PEPTtex,0.0
3UMPtex,0.0
42A12BOOXpp,0.0
4Fe4S_to_ErpA_by_IscA,0.0
4Fe4S_to_ErpA_by_IscU,1.8644245040370912e-06
4Fe4S_to_ErpA_by_SufA,0.0
4Fe4S_to_IscA_by_IscU,-9.662145440524952e-25
4Fe4S_to_IscA_by_SufBCD,0.0
4Fe4S_to_SufA_by_IscU,9.319494996282967e-44
4HOXPACDtex,0.0
4HTHRS,0.0
4PCP,0.0
4PCPpp,0.0
4PEPTabcpp,-2.0425946258923424e-23
4PEPTtex,0.0
5DGLCNR,3.187629710046277e-23
5DGLCNt2rpp,3.187629710046277e-23
5DGLCNtex,3.187629710046277e-23
5DOAN,4.84797749565535e-06
5MTRtex,-8.833498886101202e-06
5MTRtpp,8.833498886101202e-06
A5PISO,0.00389
AACPS11,7.349282738982345e-21
AACPS21,1.7623386643393927e-22
AACPS31,0.012762805454188033
AACPS41,0.015042806428547007
AACPS51,-7.429794588898225e-24
AACPS61,0.0
AACPS71,0.008499487460476327
AACPS81,0.0
AACPS91,1.6526939063894716e-08
AACTOOR,0.0
AADDGT,0.0
AAMYL,0.0
AAMYLpp,0.0
AB6PGH,0.0
ABTA,3.4061399601269914e-23
ABUTD,0.0
ABUTt2pp,0.0
ABUTtex,0.0
ACACCT,2.074671396386686e-23
ACACT1r,0.03666485445947254
ACACT2r,0.03666485445947254
ACACT3r,0.03666485445947254
ACACT4r,0.03666483793253348
ACACT5r,0.03666483793253348
ACACT6r,0.02816535047205715
ACACT7r,0.02816535047205715
ACACT8r,1.818895536611192e-21
ACACt2pp,2.074671396386686e-23
ACACtex,2.074671396386686e-23
ACALD,5.124360116841403e-06
ACALDtex,1.9066620591516895e-23
ACALDtpp,1.9066620591516895e-23
ACANTHAT,0.0
ACBIPGT,0.0
ACCOAC,0.007780033503252866
ACCOAL,0.0
ACGAL1PPpp,0.0
ACGAL1Ptex,0.0
ACGALtex,0.0
ACGAM1PPpp,0.0
ACGAM1Ptex,0.0
ACGAMK,0.0
ACGAMT,0.0
ACGAptspp,0.0
ACGAtex,0.0
ACGK,0.03336399976583953
ACGS,0.03336399976583953
ACHBS,0.037124193034332696
ACKr,0.0
